Year,Player,Result,Min,Gls,Ast,PK,Sh,SoT,CrdY,CrdR,Int,Tkl,xG,xAG,SCA,GCA,SoTA,GA,Saves,Save%,CS,is_goalkeeper,Rank
1998,Emmanuel Petit,22-10-5,3104.0,3.0,7.0,0.0,,50.02255639097744,5.0,1.0,,,0.0869845360824742,0.2029639175257731,1.4503962871095262,7.0,0.0,0.0,0.0,0.0,0.0,0,12
1998,Roberto Carlos,25-13-10,4297.0,6.0,0.0,0.0,,50.02255639097744,11.0,0.0,,,0.1256690714451943,0.0,1.047714702161501,0.0,0.0,0.0,0.0,0.0,0.0,0,13
1998,Laurent Blanc,18-8-8,3090.0,12.0,0.0,3.0,,50.02255639097744,4.0,0.0,,,0.3495145631067961,0.0,1.456967661873129,0.0,0.0,0.0,0.0,0.0,0.0,0,14
1999,Rivaldo,27-10-9,4072.0,29.0,1.0,6.0,,50.02255639097744,8.0,0.0,,,0.6409626719056974,0.0221021611001964,1.1056065999970457,1.0,0.0,0.0,0.0,0.0,0.0,0,1
1999,David Beckham,23-20-3,3949.0,8.0,11.0,0.0,,50.02255639097744,7.0,0.0,,,0.1823246391491516,0.2506963788300835,1.1400430679128817,11.0,0.0,0.0,0.0,0.0,0.0,0,2
1999,Andriy Shevchenko,7-4-3,1268.0,10.0,7.712062256809339,0.0,,50.02255639097744,1.0,0.0,,,0.7097791798107255,0.5473861223287385,3.550496904722374,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,3
1999,Gabriel Batistuta,17-6-10,2877.0,22.0,0.0,0.0,,50.02255639097744,4.0,1.0,,,0.6882168925964547,0.0,1.5648349235967918,0.0,0.0,0.0,0.0,0.0,0.0,0,4
1999,Luís Figo,24-9-7,3526.0,8.0,7.712062256809339,0.0,,50.02255639097744,16.0,2.0,,,0.2041973908111174,0.1968478738266705,1.2768094370924474,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,5
1999,Roy Keane,25-19-3,3956.0,5.0,0.0,0.0,,50.02255639097744,11.0,0.0,,,0.1137512639029322,0.0,1.1380258026258772,0.0,0.0,0.0,0.0,0.0,0.0,0,6
1999,Christian Vieri,14-7-2,2002.0,12.0,0.0,0.0,,50.02255639097744,2.0,0.0,,,0.5394605394605395,0.0,2.248766271322662,0.0,0.0,0.0,0.0,0.0,0.0,0,7
1999,Juan Sebastián Verón,18-10-9,3015.0,1.0,1.0,0.0,,50.02255639097744,9.0,1.0,,,0.0298507462686567,0.0298507462686567,1.4932106385366402,1.0,0.0,0.0,0.0,0.0,0.0,0,8
1999,Raúl,25-6-14,3922.0,28.0,7.712062256809339,4.0,,50.02255639097744,2.0,0.0,,,0.6425293217746048,0.1769723618339725,1.1478914011188093,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,9
1999,Lothar Matthäus,24-8-6,3036.0,2.0,0.0,0.0,,50.02255639097744,10.0,0.0,,,0.0592885375494071,0.0,1.4828821064519009,0.0,0.0,0.0,0.0,0.0,0.0,0,10
1999,Dwight Yorke,25-17-2,3795.0,26.0,11.0,0.0,,50.02255639097744,2.0,0.0,,,0.616600790513834,0.2608695652173913,1.1863056851615204,11.0,0.0,0.0,0.0,0.0,0.0,0,11
1999,Jaap Stam,25-18-3,3992.0,1.0,1.0,0.0,,50.02255639097744,6.0,0.0,,,0.0225450901803607,0.0225450901803607,1.127763044886766,1.0,0.0,0.0,0.0,0.0,0.0,0,12
1999,Siniša Mihajlović,19-8-3,2644.0,8.0,7.712062256809339,1.0,,50.02255639097744,9.0,1.0,,,0.2723146747352496,0.2625134656251288,1.702734521629338,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,13
1999,Zlatko Zahovič,2-1-3,509.0,7.0,7.712062256809339,0.0,,50.02255639097744,1.0,0.0,,,1.237721021611002,1.3636259393179575,8.844852799976366,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,14
1999,Pavel Nedvěd,11-7-3,1594.0,1.0,7.712062256809339,0.0,,50.02255639097744,4.0,1.0,,,0.0564617314930991,0.4354363884020329,2.824360147545778,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,15
2000,Luís Figo,29-9-11,4216.0,15.0,7.712062256809339,1.0,,50.02255639097744,17.0,1.0,,,0.3202087286527514,0.1646313100362525,1.067843945727697,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,1
2000,Zinedine Zidane,26-8-6,3305.0,6.0,7.712062256809339,1.0,,50.02255639097744,5.0,1.0,,,0.1633888048411497,0.210010772500103,1.3621876173034704,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,2
2000,Andriy Shevchenko,16-16-6,3131.0,25.0,7.712062256809339,8.0,,50.02255639097744,5.0,0.0,,,0.7186202491216863,0.2216817640092112,1.4378888774155123,7.712062256809339,0.0,0.0,0.0,0.0,0.0,0,3
