Year,Player,Result,Min,Gls,Ast,PK,Sh,SoT,CrdY,CrdR,Int,TklW,SoTA,GA,Saves,Save%,CS,is_goalkeeper
2001,Luís Figo,31-9-8,"4,156",14.0,,4.0,,,16.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2001,Rivaldo,22-15-11,"4,112",34.0,,7.0,,,4.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2001,Andriy Shevchenko,18-19-11,"4,224",33.0,,8.0,,,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2001,Thierry Henry,27-13-10,"3,896",21.0,9.0,1.0,,,6.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2001,Zinedine Zidane,22-12-4,"3,150",6.0,,1.0,,,2.0,2.0,,,0.0,0.0,0.0,0.0,0.0,0
2001,Bixente Lizarazu,22-5-3,"2,363",0.0,,0.0,,,10.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2001,David Trezeguet,18-10-3,"1,833",16.0,,0.0,,,1.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2001,Stefan Effenberg,17-8-5,"2,638",5.0,,2.0,,,13.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2001,Henrik Larsson,2-1-2,482,4.0,,1.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2001,Alessandro Nesta,21-7-10,"3,379",0.0,,0.0,,,7.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2002,Ronaldo,17-2-3,"1,360",15.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2002,Roberto Carlos,32-10-8,"4,368",6.0,,0.0,,,9.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2002,Zinedine Zidane,23-9-9,"3,489",10.0,,0.0,,,4.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2002,Michael Ballack,32-8-11,"4,454",26.0,,3.0,,,19.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2002,Thierry Henry,27-10-9,"3,865",31.0,5.0,6.0,,,6.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2002,Raúl,30-12-9,"4,506",23.0,,0.0,,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2003,Rivaldo,21-6-8,"2,251",7.0,,1.0,,,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2002,Yıldıray Baştürk,32-11-13,"4,367",4.0,,0.0,,,13.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2002,Alessandro Del Piero,24-15-6,"3,567",21.0,,4.0,,,3.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2002,Hasan Şaş,9-7-5,"1,903",3.0,,0.0,,,6.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2002,Ronaldinho,19-15-5,"2,740",13.0,,4.0,,,9.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0
2002,Michael Owen,23-14-7,"3,453",26.0,1.0,1.0,,,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2002,Ruud van Nistelrooy,28-9-9,"3,755",33.0,4.0,7.0,,,5.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2002,Bernd Schneider,33-11-12,"4,791",8.0,,0.0,,,8.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2003,Pavel Nedvěd,26-10-8,"3,645",14.0,,0.0,,,6.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2003,Thierry Henry,32-13-9,"4,696",35.0,20.0,4.0,,,9.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2003,Paolo Maldini,26-10-12,"4,183",2.0,,0.0,,,5.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2003,Andriy Shevchenko,15-9-11,"2,537",9.0,,0.0,,,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2003,Zinedine Zidane,25-14-8,"3,872",12.0,,0.0,,,4.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2003,Ruud van Nistelrooy,32-6-7,"3,755",39.0,4.0,6.0,,,5.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2003,Raúl,25-13-5,"3,736",25.0,,0.0,,,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2003,Roberto Carlos,27-17-8,"4,622",6.0,,0.0,,,7.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2003,David Beckham,31-7-6,"3,412",9.0,8.0,0.0,,,6.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2003,Ronaldo,23-12-7,"3,164",29.0,,0.0,,,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
2003,Henrik Larsson,7-2-3,"1,065",12.0,,1.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0
