Rank
1
2
3
4
5
6
7
8
8
10
11
12
13
14
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
1
2
3
4
5
6
7
8
9
10
10
12
14
1
2
4
5
6
7
8
9
9
11
12
13
14
14
1
2
4
5
6
7
8
9
10
11
12
13
13
15
1
2
3
4
5
6
7
8
10
11
12
13
15
1
2
3
4
5
6
7
8
9
9
11
12
12
14
15
1
2
3
4
5
6
7
8
9
10
11
13
14
1
3
4
5
6
7
8
9
11
11
13
14
14
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
1
2
3
5
6
7
8
9
10
11
12
13
14
15
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
1
2
3
4
5
6
8
9
10
11
12
13
14
15
1
2
3
4
5
6
7
8
11
12
13
14
15
1
2
3
4
5
7
8
9
10
11
12
14
15
1
2
3
4
5
6
7
8
9
10
11
12
13
14
14
1
2
4
5
6
7
8
9
10
11
12
13
14
15
1
2
3
4
5
6
8
9
10
11
12
13
14
15
1
2
3
4
5
6
7
8
9
11
13
14
14
1
2
3
5
6
7
8
9
10
11
12
13
14
15
14
12
14
3
3
9
14
14
2
10
4
7
9
6
3
7
9
12
4
1
2
3
4
5
6
7
8
9
10
11
12
13
15
1
2
3
4
5
6
8
9
10
11
12
13
14
15
1
2
3
4
5
6
7
8
9
11
12
12
14
15
1
2
3
4
5
6
8
9
10
11
12
13
14
14
1
2
3
4
5
6
7
8
9
10
11
12
14
14
7
10
7
13
15
